"","OrgName","Repos","Location"
"1","errfree","2","errfree"
"2","engineyard","309","San Francisco, CA"
"3","ministrycentered","91","Carlsbad, CA"
"4","collectiveidea","160","Holland, MI"
"5","ogc","2","Nashville, TN"
"6","sevenwire","14","Costa Mesa, CA"
"7","entryway","7","floyd, virginia"
"8","merb","14","merb"
"9","moneyspyder","48","London"
"10","sproutit","21","Los Altos, CA"
"11","wrenchlabs","1","Charlotte, NC"
"12","ipvideomarketinfo","1","ipvideomarketinfo"
"13","revelation","24","Portland OR"
"14","railslove","137","Cologne, Germany"
"15","railsdog","70","New York, NY"
"16","netguru","132","Poznan, Poland"
"17","animikii","5","Victoria, Canada"
"18","cdr","40","Austin, TX"
"19","sauspiel","21","Berlin, Germany"
"20","wherecloud","1","Montreal, Canada"
"21","triveos","0","Curitiba, PR, Brasil"
"22","lincolnloop","155","lincolnloop"
"23","notch8","212","San Diego, CA"
"24","edgecase","70","Columbus, OH"
"25","galaxycats","43","Cologne / Germany"
"26","standout","80","Sweden"
"27","trabian","94","Broad Ripple, IN"
"28","wesabe","26","wesabe"
"29","UntoThisLast","1","London"
"30","gumgum","26","Santa Monica, CA"
"31","caring","82","San Mateo, CA"
"32","voceconnect","116","Winter Haven, FL"
"33","braintree","97","Chicago, IL"
"34","jiva-technology","21","Bristol, UK"
"35","insightmethods","11","insightmethods"
"36","squarefactor","31","Orlando, FL"
"37","intridea","1","Washington, DC"
"38","rarepleasures","0","London"
"39","eastmedia","20","New York, NY"
"40","fivesenses","3","Perth, Western Australia"
"41","Rouxbe","8","Vancouver, BC, Canada"
"42","xilinus","10","France"
"43","rails","98","rails"
"44","railsmachine","79","Savannah, GA"
"45","reversetype","1","US"
"46","survival","6","survival"
"47","vigetlabs","213","Falls Church, VA / Durham, NC / Boulder, CO"
"48","softa","17","Porto Alegre / RS - Brasil"
"49","papercreatures","11","Brighton"
"50","warhorn","2","Brooklyn, NY"
"51","wisdomgroup","7","Chicago, IL USA"
"52","rubaidh","30","Edinburgh, Scotland"
"53","beyoumedia","0","Switzerland"
"54","gsl","1","Tampa, FL"
"55","trix","2","Pszczyna, Poland"
"56","acunote","12","acunote"
"57","trms","60","Minneapolis, MN"
"58","hashrocket","132","Chicago, IL & Jax Beach, FL"
"59","flogic","25","Nashville, TN"
"60","mpowered","27","South Africa"
"61","rubypond","1","San Francisco"
"62","SalesLentz","1","Luxembourg"
"63","thoughtbot","349","USA & London"
"64","sifterapp","4","United States"
"65","insomniapps","1","insomniapps"
"66","beyondthepath","4","beyondthepath"
"67","sanswork","0","sanswork"
"68","abakas","1","Boston, MA"
"69","loggly","71","San Francisco, CA"
"70","WebKit","3","WebKit"
"71","notonthehighstreet","114","London"
"72","intercom","130","Dublin, London, San Francisco"
"73","digitalpulp","17","New York"
"74","efficiency20","18","New York, NY"
"75","gnoso","17","Greenville, South Carolina"
"76","infochimps","6","Austin, TX and elsewhere"
"77","citrusbyte","0","LAX, NYC, PDX, SFO, EZE"
"78","kinda","54","Tokyo, Japan"
"79","Sentia","43","Sydney, Australia"
"80","loudpixel","4","East Lansing, MI"
"81","omnigroup","9","Seattle WA"
"82","bebanjo","52","Madrid, Spain"
"83","code","0","London, UK & Bangkok, Thailand"
"84","crushlovely","113","New York"
"85","Flatsourcing","0","Flatsourcing"
"86","kyan","53","Guildford, UK"
"87","causes","83","San Francisco, CA"
"88","uversity","30","San Francisco, CA"
"89","formrausch","25","Koblenz, Germany"
"90","Aissac","51","Cluj-Napoca, Romania"
"91","animoto","54","New York, NY"
"92","generalthings","0","San Francisco, CA"
"93","ctisol","17","Portland, Oregon, USA"
"94","bitsemble","1","United States"
"95","c7","24","Stockholm, Sweden"
"96","mootools","23","mootools"
"97","Shopify","583","The Internet"
"98","peervoice","0","peervoice"
"99","klout","19","San Francisco, CA"
"100","sinatra","11","sinatra"
