"","x"
"1","Unknown"
"2","North America"
"3","North America"
"4","North America"
"5","North America"
"6","North America"
"7","North America"
"8","Unknown"
"9","Europe"
"10","North America"
"11","North America"
"12","Unknown"
"13","North America"
"14","Europe"
"15","North America"
"16","Europe"
"17","North America"
"18","North America"
"19","Europe"
"20","North America"
"21","South America"
"22","Unknown"
"23","North America"
"24","North America"
"25","Europe"
"26","Europe"
"27","North America"
"28","Unknown"
"29","Europe"
"30","North America"
"31","North America"
"32","North America"
"33","North America"
"34","Europe"
"35","Unknown"
"36","North America"
"37","North America"
"38","Europe"
"39","North America"
"40","Oceania"
"41","North America"
"42","Europe"
"43","Unknown"
"44","North America"
"45","North America"
"46","Unknown"
"47","North America"
"48","South America"
"49","Europe"
"50","North America"
"51","North America"
"52","Europe"
"53","Europe"
"54","North America"
"55","Europe"
"56","Unknown"
"57","North America"
"58","North America"
"59","North America"
"60","Africa"
"61","North America"
"62","Europe"
"63","North America"
"64","North America"
"65","Unknown"
"66","Unknown"
"67","Unknown"
"68","North America"
"69","North America"
"70","Unknown"
"71","Europe"
"72","North America"
"73","North America"
"74","North America"
"75","North America"
"76","North America"
"77","North America"
"78","Asia"
"79","Oceania"
"80","North America"
"81","North America"
"82","Europe"
"83","Europe"
"84","North America"
"85","Unknown"
"86","Europe"
"87","North America"
"88","North America"
"89","Europe"
"90","Europe"
"91","North America"
"92","North America"
"93","North America"
"94","North America"
"95","Europe"
"96","Unknown"
"97","Unknown"
"98","Unknown"
"99","North America"
"100","Unknown"
