"","x"
"1",0
"2",0
"3",26
"4",5
"5",3
"6",0
"7",4
"8",4
"9",0
"10",0
"11",0
"12",0
"13",0
"14",14
"15",3
"16",30
"17",0
"18",10
"19",9
"20",0
"21",1
"22",9
"23",2
"24",14
"25",2
"26",3
"27",3
"28",2
"29",0
"30",2
"31",0
"32",5
"33",30
"34",0
"35",0
"36",1
"37",15
"38",0
"39",1
"40",1
"41",1
"42",0
"43",30
"44",2
"45",0
"46",0
"47",8
"48",15
"49",1
"50",1
"51",0
"52",0
"53",1
"54",2
"55",0
"56",0
"57",5
"58",10
"59",3
"60",0
"61",1
"62",1
"63",15
"64",0
"65",0
"66",0
"67",0
"68",3
"69",3
"70",7
"71",5
"72",30
"73",0
"74",2
"75",0
"76",0
"77",0
"78",2
"79",1
"80",0
"81",1
"82",10
"83",0
"84",4
"85",0
"86",3
"87",1
"88",0
"89",5
"90",2
"91",0
"92",0
"93",0
"94",0
"95",1
"96",20
"97",30
"98",0
"99",0
"100",26
