"","x"
"1",0
"2",12
"3",15
"4",11
"5",1
"6",2
"7",2
"8",1
"9",5
"10",4
"11",1
"12",1
"13",4
"14",7
"15",8
"16",15
"17",4
"18",6
"19",7
"20",1
"21",0
"22",8
"23",11
"24",9
"25",5
"26",9
"27",13
"28",7
"29",1
"30",6
"31",8
"32",5
"33",13
"34",2
"35",4
"36",6
"37",1
"38",0
"39",3
"40",1
"41",2
"42",5
"43",7
"44",5
"45",1
"46",1
"47",13
"48",4
"49",4
"50",1
"51",4
"52",2
"53",0
"54",1
"55",1
"56",3
"57",9
"58",11
"59",2
"60",5
"61",0
"62",1
"63",19
"64",1
"65",1
"66",1
"67",0
"68",1
"69",12
"70",1
"71",14
"72",17
"73",6
"74",1
"75",6
"76",2
"77",0
"78",3
"79",7
"80",2
"81",3
"82",4
"83",0
"84",8
"85",0
"86",7
"87",7
"88",7
"89",4
"90",5
"91",7
"92",0
"93",3
"94",1
"95",5
"96",4
"97",13
"98",0
"99",5
"100",3
